label,text_a,scores
0,真不是一般的次啊！色彩太红了，而且出现了严重的混淆，基本不看清楚内容，而且是不是出现一些莫名的东西。  真是便宜没好货啊！,0
1,brightman一贯的高水准音乐素质，录音品质。以这个价格和引进版包装以及赠品来看，brightman真是很红。这次的质量还可以，音质其实用不着和原版去比，我相信用原版和引进版在同一个普通的播放器材上播放，绝大多数歌迷还是听不出差别的，再说引进版有那么差么？原版100左右你就真能听出高音质？当然借助专业器材是可以测评出来的。一句话，这次引进版音质很不错了。这样的歌手，这样的歌曲，绝对值的一听！,1
1,挺不错的。。,1
1,画面超美 我超喜欢！o(∩_∩)o...,1
1,好听,1
1,First you need to ask. Then,1
1,不买是你的损失！！如果你是刚丝~~就一定要支持正版！！,0
0,本品两大致命硬伤。硬伤之一是所谓宫崎骏作品集竟有两部非宫崎骏作品：“萤火虫之墓”和“回忆点点滴滴”都是高畑勲的作品。当然高畑勲与宫崎骏一起创建GHIBLI工作室,0
1,说实话我还没玩,0
0,虽然价格不算贵,0
1,是一个让人爱不释手的游戏,1
1,经典中的经典！我很喜欢,1
0,我买的这台w10型号的子母机一台,0
0,今天收到了CD,1
1,有关网站设计的基本阶段,1
1,第一个《黄鹤楼》后面有些丢转的现象,0
1,恩,1
0,播讲语言不够文明,0
0,不好用。,0
1,绅士们的歌声太棒了,1
0,光盘中有很多马赛克···哎 看的时候很费劲,0
1,刚收到就降价~还降了三块多,0
0,经常出去旅游,1
0,我在定购这本书的时候,1
0,我买的盘不知怎么了,0
0,电信营业厅的垄断销售价都是8380,0
0,卓越怎么这样：东西一旦卖的好就立马涨价！今天刚准备买,0
1,50年后的地球会是什么样子？如果你看过电影之后,0
1,因为剧集太多没看全。虽然电视里老放,0
0,不喜欢小美人鱼2,1
0,书很老了,1
0,不如图片美观,1
0,我晕！我买了居然不能安装！,0
0,1984年刘德华和陈玉莲版（香港）(50集),1
1,中文配音的,1
0,个人感觉就是地摊货,0
0,我越看越觉的这个不是晴空的作品~文笔一点也不细腻,1
1,我送给老公了。,1
1,书的质量和印刷都不错,1
1,我用的ATH-AD700+SONY的CD听的,0
1,印刷只能说过得去,0
0,最后,0
1,与日系的不同,0
1,2次都这样了,0
1,不是吧!!我也准备下单买这本书啊??不是说 卓越还不错吗慕名而来啊难道....????,0
0,本书可以归入奇幻类,1
0,CD有质量问题,0
0,玩了这么多版本的大富翁,1
0,个人感觉田战义最好的作品是《秘密列车》。另外李鑫全先生的三国确实很棒,1
1,我在网上挑选了好久,1
0,卓越你诈骗同样的书不同的价格用不同 的名字最小说·映刻2009.06(附册) (1) 最小说映刻(2009.4.下半月刊) (1) 最小说·映刻2009.08(附册) (1) 最小说映刻(2009年5月上半月刊) (1) 敲诈啊！,0
0,全文翻译太鸡肋了,1
0,一个正版就400块,0
0,从精神上,0
1,你会很激动,1
0,买了两瓶,0
0,给妈妈买的  回来后发现盘质量很差 两种背景语混响 卡壳现象很多 画面很差,0
1,勿以恶小而为之！最近发生的事情很不好！你们内部有问题,0
0,我是冲着仙剑买的这东西。完全看不到画面,0
0,打开包装以后发现气味特别大并且很刺鼻,0
0,这个价格不厚道,0
1,我买过E2100,0
1,某网才46.00说！,1
1,用起来很好,1
0,刚买还没有收到,0
1,交响情人梦,1
0,很好看的一本书！追看！,1
0,不得不说,0
1,主题内容非常健康,1
1,看几遍了还是会笑！,1
1,作为一本指导性质的编程类书籍,1
1,《怎样营销》这本书确实不错,1
1,包装挺精美的,1
0,封面作得挺好,1
1,我小孩喜欢反复看了多次,0
1,我买了好几本图说天下觉得很好图文并茂  对学习地理有很大的帮助我会继续支持的.......,1
0,这次神秘园来华,1
1,不错,1
1,风扇质量不错,1
1,有没有补丁遇到某些特殊的客人不会死机的？,0
0,质量有严重性问题。放不出来。不大点东西,0
1,上次买五月天的专辑和几本书,1
1,我非常喜欢此类书籍！,1
1,美好而平实的童年生活,0
0,非常好。值得收藏。,1
1,内容个人喜欢书的质量也不错,1
0,网上可以免费下载的RC版也拿来卖钱？？？如果卖6块钱,0
1,我来顶上去,0
1,首先,0
0,网上随处可下的网络小说而已~~,1
1,整体说还不错,1
0,刚买了,0
1,终于等到老板的专辑啦,1
1,修行者必备的一本书。南师在书中把修行的要点重点又重新讲了一遍。....字体也 很大,1
0,我今天收到了,1
1,CD不错,1
1,很喜欢这本书,1
1,继续FC,1
1,内容很全面,1
1,现在的引进版质量越来越好了,1
